year,doy,hod,coszen,PPFD,Tair,Tleaf,precip,VPD,E,Gs,gb,gs,Patm,u,CO2,LAI,sw,sw0,Ps,O2,zref,height,max_leaf_width,can_sat,kcanint,Vmax25,gamstar25,Tref,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,eps_s,albedo_l,albedo_l2,albedo_ws,albedo_ds,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,P50,P88,kmax,ratiocrit,g1,sfw,nPs,ground_area,Ztop,Zbottom,root_beta,Psie,hyds,theta_sat,fc,pwp,bch,r_soil
[-],[-],[-],[-],[umol m-2 s-1],[deg C],[deg C],[mm d-1],[kPa],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[kPa],[m s-1],[Pa],[m2 m-2],[m3 m-3],[m3 m-3],[MPa],[kPa],[m],[m],[m],[mm d-1],[-],[umol m-2 s-1],[Pa],[deg C],[-],[umol m-2 s-1],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[-MPa],[-MPa],[mmol m-2 s-1 MPa-1],[-],[kPa0.5],[-],[MPa],[m2],[m],[m],[1^(cm-1)],[MPa],[m s-1],[m3 m-3],[m3 m-3],[m3 m-3],[-],[-]
2011,1,0.5,0,0,24.15666667,25.15666667,0,0.958115094,0,0,2.8,0,96.14828667,3.008666667,38.66173205,0.690096961,0.125523626,0.078887689,-0.4131323,20.73,16.9,6.6,0.1,5.8,0.645,37.6,4.22,25,1.053191489,0.564,25,39.96,27.48,0.3,0.7,0.99,0.83,0.93,0.97,0.945,0.125,0.3,0.1,0.25,0.05,0.01,0.001,60000,30000,37830,79430,36380,650,650,200000,200000,4.5202,8.5378,1.834014201,0.05,6,0.5,8,1,0.01,0.9,0.94,-0.001490442,8.28E-06,0.419004472,0.249014473,0.140186695,6.691151564,0.5
2011,1,1,0,0,23.81666667,24.81666667,0,0.881014513,0,0,2.8,0,96.14844667,3.486666667,38.66173205,0.690096961,0.125523626,0.078887689,-0.4131323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,1.5,0,0,23.48666667,24.48666667,0,0.802163155,0,0,2.8,0,96.17543667,3.2505,38.66173205,0.690096961,0.125523626,0.078887689,-0.4131323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2,0,0,23.28333333,24.28333333,0,0.780955564,0.010043328,0.336422004,2.8,0.382363219,96.17543667,2.6525,38.66173205,0.690096961,0.125523626,0.078887689,-0.4131323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,2.5,0,0,23.14,24.14,0,0.727193819,0,0,2.8,0,96.19163,3.12,38.66173205,0.690096961,0.125523626,0.078887689,-0.4131323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,0,0,22.81,23.81,0,0.608304222,0,0,2.8,0,96.16464,2.820666667,38.66173205,0.690096961,0.125523626,0.078887689,-0.4131323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3.5,0,0,22.25,23.25,0,0.494824466,0.001138048,0.060161425,2.8,0.061482451,96.17004,2.546666667,38.66173205,0.690096961,0.125523626,0.078887689,-0.4131323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,4,0,0,22.07,23.07,0,0.44871966,0,0,2.8,0,96.13765333,1.609666667,38.66173205,0.690096961,0.125523626,0.078887689,-0.4131323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,4.5,0,0,22.13,23.13,0,0.477011069,0.000284458,0.015585926,2.8,0.015673169,96.08907333,1.623333333,38.66173205,0.690096961,0.125523626,0.078887689,-0.4131323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,5,0,0,22,23,0,0.433590518,0.000279834,0.01687179,2.8,0.01697407,96.11066,2.096333333,38.66173205,0.690096961,0.125523626,0.078887689,-0.4131323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
